cal_date,is_open,pretrade_date
20210908,1,20210907
20210907,1,20210906
20210906,1,20210903
20210905,0,20210902
20210904,0,20210902
20210903,1,20210902
20210902,1,20210901
20210901,1,20210831
20210831,1,20210830
20210830,1,20210827
20210829,0,20210826
20210828,0,20210826
20210827,1,20210826
20210826,1,20210825
20210825,1,20210824
20210824,1,20210823
20210823,1,20210820
20210822,0,20210819
20210821,0,20210819
20210820,1,20210819
20210819,1,20210818
20210818,1,20210817
20210817,1,20210816
20210816,1,20210813
20210815,0,20210812
20210814,0,20210812
20210813,1,20210812
20210812,1,20210811
20210811,1,20210810
20210810,1,20210809
20210809,1,20210806
20210808,0,20210805
20210807,0,20210805
20210806,1,20210805
20210805,1,20210804
20210804,1,20210803
20210803,1,20210802
20210802,1,20210730
20210801,0,20210729
20210731,0,20210729
20210730,1,20210729
20210729,1,20210728
20210728,1,20210727
20210727,1,20210726
20210726,1,20210723
20210725,0,20210722
20210724,0,20210722
20210723,1,20210722
20210722,1,20210721
20210721,1,20210720
20210720,1,20210719
20210719,1,20210716
20210718,0,20210715
20210717,0,20210715
20210716,1,20210715
20210715,1,20210714
20210714,1,20210713
20210713,1,20210712
20210712,1,20210709
20210711,0,20210708
20210710,0,20210708
20210709,1,20210708
20210708,1,20210707
20210707,1,20210706
20210706,1,20210705
20210705,1,20210702
20210704,0,20210630
20210703,0,20210630
20210702,1,20210630
20210701,0,20210629
20210630,1,20210629
20210629,1,20210628
20210628,1,20210625
20210627,0,20210624
20210626,0,20210624
20210625,1,20210624
20210624,1,20210623
20210623,1,20210622
20210622,1,20210621
20210621,1,20210618
20210620,0,20210617
20210619,0,20210617
20210618,1,20210617
20210617,1,20210616
20210616,1,20210615
20210615,1,20210611
20210614,0,20210610
20210613,0,20210610
20210612,0,20210610
20210611,1,20210610
20210610,1,20210609
20210609,1,20210608
20210608,1,20210607
20210607,1,20210604
20210606,0,20210603
20210605,0,20210603
20210604,1,20210603
20210603,1,20210602
20210602,1,20210601
20210601,1,20210531
20210531,1,20210528
20210530,0,20210527
20210529,0,20210527
20210528,1,20210527
20210527,1,20210526
20210526,1,20210525
20210525,1,20210524
20210524,1,20210521
20210523,0,20210520
20210522,0,20210520
20210521,1,20210520
20210520,1,20210518
20210519,0,20210517
20210518,1,20210517
20210517,1,20210514
20210516,0,20210513
20210515,0,20210513
20210514,1,20210513
20210513,1,20210512
20210512,1,20210511
20210511,1,20210510
20210510,1,20210507
20210509,0,20210506
20210508,0,20210506
20210507,1,20210506
20210506,1,20210505
20210505,1,20210504
20210504,1,20210503
20210503,1,20210430
20210502,0,20210429
20210501,0,20210429
20210430,1,20210429
20210429,1,20210428
20210428,1,20210427
20210427,1,20210426
20210426,1,20210423
20210425,0,20210422
20210424,0,20210422
20210423,1,20210422
20210422,1,20210421
20210421,1,20210420
20210420,1,20210419
20210419,1,20210416
20210418,0,20210415
20210417,0,20210415
20210416,1,20210415
20210415,1,20210414
20210414,1,20210413
20210413,1,20210412
20210412,1,20210409
20210411,0,20210408
20210410,0,20210408
20210409,1,20210408
20210408,1,20210407
20210407,1,20210401
20210406,0,20210331
20210405,0,20210331
20210404,0,20210331
20210403,0,20210331
20210402,0,20210331
20210401,1,20210331
20210331,1,20210330
20210330,1,20210329
20210329,1,20210326
20210328,0,20210325
20210327,0,20210325
20210326,1,20210325
20210325,1,20210324
20210324,1,20210323
20210323,1,20210322
20210322,1,20210319
20210321,0,20210318
20210320,0,20210318
20210319,1,20210318
20210318,1,20210317
20210317,1,20210316
20210316,1,20210315
20210315,1,20210312
