ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
06128.HK,泛亚国际,泛亚环境国际控股有限公司,Earthasia International Holdings Limited,FYGJ,主板,L,20140625,,2000.0,KYG294AW1006,HKD
06133.HK,维太创科,维太创科控股有限公司,Vital Innovations Holdings Limited,WTCK,主板,L,20150626,,1000.0,KYG9381Y1089,HKD
06136.HK,康达环保,康达国际环保有限公司,Kangda International Environmental Co. Ltd.,KDHB,主板,L,20140704,,1000.0,KYG521541048,HKD
06138.HK,哈尔滨银行,哈尔滨银行股份有限公司,"Harbin Bank Co., Ltd.",HEBYH,主板,L,20140331,,1000.0,CNE100001SB3,HKD
06139.HK,金茂酒店-SS,金茂酒店与金茂(中国)酒店投资管理有限公司-SS,Jinmao (China) Hotel Investments and Management Limited-SS,JMJD-SS,主板,L,20140702,,500.0,HK0000204385,HKD
06158.HK,正荣地产,正荣地产集团有限公司,Zhenro Properties Group Limited,ZRDC,主板,L,20180116,,1000.0,KYG9897E1098,HKD
06160.HK,百济神州,百济神州有限公司,"BeiGene, Ltd.",BJSZ,主板,L,20180808,,100.0,KYG1146Y1017,HKD
06161.HK,泰加保险,泰加保险(控股)有限公司,Target Insurance (Holdings) Ltd.,TJBX,主板,L,20150115,,2000.0,HK0000231883,HKD
06162.HK,天瑞汽车内饰,中国天瑞汽车内饰件有限公司,"China Tianrui Automotive Interiors Co., Ltd",TRQCNS,主板,L,20190115,,8000.0,KYG844001035,HKD
06163.HK,彭顺国际,彭顺国际有限公司,Gemilang International Limited,PSGJ,主板,L,20161111,,2000.0,KYG378791068,HKD
06166.HK,中国宏泰发展,中国宏泰产业市镇发展有限公司,China VAST Industrial Urban Development Company Limited,ZGHTFZ,主板,L,20140825,,1000.0,KYG216301013,HKD
06168.HK,中国优通,中国优通控股有限公司,China U-Ton Holdings Limited,ZGYT,主板,L,20140801,,5000.0,KYG2115N1189,HKD
06169.HK,宇华教育,中国宇华教育集团有限公司,China Yuhua Education Corporation Limited,YHJY,主板,L,20170228,,2000.0,KYG2120K1094,HKD
06178.HK,光大证券,光大证券股份有限公司,Everbright Securities Company Limited,GDZQ,主板,L,20160818,,200.0,CNE1000029M4,HKD
06182.HK,乙德投资控股,乙德投资控股有限公司,Twintek Investment Holdings Limited,YDTZKG,主板,L,20180117,,8000.0,KYG9143C1050,HKD
06183.HK,中国绿宝,中国绿宝集团有限公司,"China Greenfresh Group Co., Ltd.",ZGLB,主板,L,20150618,,1000.0,KYG2117Y1044,HKD
06185.HK,康希诺生物-B,康希诺生物股份公司,CanSino Biologics Inc.,KXNSW-B,主板,L,20190328,,200.0,CNE100003F01,HKD
06186.HK,中国飞鹤,中国飞鹤有限公司,China Feihe Limited,ZGFH,主板,L,20191113,,1000.0,KYG2121Q1055,HKD
06188.HK,迪信通,北京迪信通商贸股份有限公司,"Beijing Digital Telecom Co., Ltd.",DXT,主板,L,20140708,,500.0,CNE100001ST5,HKD
06189.HK,爱得威建设集团,广东爱得威建设(集团)股份有限公司,Guangdong Adway Construction (Group) Holdings Company Limited,ADWJSJT,主板,L,20161125,,500.0,CNE100002B71,HKD
06190.HK,九江银行,九江银行股份有限公司,"Bank of Jiujiang Co., Ltd.",JJYH,主板,L,20180710,,200.0,CNE1000031G2,HKD
06193.HK,泰林科建,泰林科建控股有限公司,Tailam Tech Construction Holdings Limited,TLKJ,主板,L,20191218,,2000.0,KYG8661H1083,HKD
06196.HK,郑州银行,郑州银行股份有限公司,"Bank of Zhengzhou Co., Ltd.",ZZYH,主板,L,20151223,,1000.0,CNE1000023P0,HKD
06198.HK,青岛港,青岛港国际股份有限公司,"Qingdao Port International Co., Ltd.",QDG,主板,L,20140606,,1000.0,CNE100001SG2,HKD
06199.HK,贵州银行,贵州银行股份有限公司,"Bank of Guizhou Co.,Ltd.",GZYH,主板,L,20191230,,1000.0,CNE100003PT7,HKD
06805.HK,金茂源环保,金茂源环保控股有限公司,Kimou Environmental Holding Limited,JMYHB,主板,L,20190716,,2000.0,KYG5258L1041,HKD
06806.HK,申万宏源,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",SWHY,主板,L,20190426,,800.0,CNE100003K53,HKD
06808.HK,高鑫零售,高鑫零售有限公司,Sun Art Retail Group Ltd.,GXLS,主板,L,20110727,,500.0,HK0000083920,HKD
06811.HK,太兴集团,太兴集团控股有限公司,Tai Hing Group Holdings Limited,TXJT,主板,L,20190613,,1000.0,KYG866191060,HKD
06816.HK,瑞港建设,瑞港建设控股有限公司,Prosper Construction Holdings Limited,RGJS,主板,L,20160720,,2000.0,KYG7279E1017,HKD
06818.HK,中国光大银行,中国光大银行股份有限公司,China Everbright Bank Company Limited,ZGGDYH,主板,L,20131220,,1000.0,CNE100001QW3,HKD
06819.HK,中智全球,中智全球控股有限公司,IntelliCentrics Global Holdings Ltd.,ZZQQ,主板,L,20190327,,500.0,KYG480041089,HKD
06820.HK,FRIENDTIMES,FriendTimes Inc.,FriendTimes Inc.,FRIENDTIME,主板,L,20191008,,2000.0,KYG371BT1022,HKD
06822.HK,科劲国际,科劲国际(控股)有限公司,King's Flair International (Holdings) Limited,KJGJ,主板,L,20150116,,2000.0,KYG5258R1011,HKD
06826.HK,昊海生物科技,上海昊海生物科技股份有限公司,"Shanghai Haohai Biological Technology Co., Ltd.",HHSWKJ,主板,L,20150430,,100.0,CNE100001W69,HKD
