ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
02958.HK,平安证券集团股权,平安证券集团股权,,PAZQJTGQ,主板,D,20191105,20191112,40000.0,BMG7115B1393,HKD
02958.HK,环球动力,环球动力,,HQDL,主板,D,20080910,20080925,20000.0,,HKD
02958AE.HK,金匡企业,金匡企业,,JKQY,主板,D,20010515,20010619,100.0,,HKD
02958AF.HK,红发集团,红发集团,,HFJT,主板,D,20091105,20091209,16000.0,,HKD
02958AG.HK,永义实业,永义实业,,YYSY,主板,D,20121211,20130117,100.0,,HKD
02958AH.HK,豊采多媒体,豊采多媒体,,LCDMT,主板,D,20050117,20050224,10000.0,,HKD
02958AI.HK,奥玛仕,奥玛仕,,AMS,主板,D,20030801,20030905,50.0,,HKD
02958AJ.HK,21控股,21控股,,21KG,主板,D,20101207,20110111,1000.0,,HKD
02958AK.HK,DAIWA ASSO-OLD,DAIWA ASSO-OLD,,DAIWAASSOO,主板,D,19991130,20000104,400.0,,HKD
02958AL.HK,西伯利亚矿业,西伯利亚矿业,,XBLYKY,主板,D,20111003,20111107,500.0,,HKD
02959.HK,中星集团控股,中星集团控股,,ZXJTKG,主板,D,20160405,20160510,2000.0,BMG6433R1491,HKD
02959.HK,元开达利环保,元开达利环保,,YKDLHB,主板,D,20020815,20020919,1000.0,,HKD
02959.HK,中播控股(旧),中国移动多媒体广播控股有限公司,CMMB Vision Holdings Limited,ZBKGJ,主板,D,20191112,20191217,200.0,,HKD
02959.HK,汉宝（龙虾大王）,汉宝（龙虾大王）,,HBLXDW,主板,D,20060609,20060630,20000.0,,HKD
02959AE.HK,南华中国,南华中国,,NHZG,主板,D,20070822,20070927,10000.0,,HKD
02959AF.HK,蓝鼎国际（五千）,蓝鼎国际（五千）,,LDGJWQ,主板,D,20170427,20170519,5000.0,BMG5369T1606,HKD
02959AG.HK,恒光实业,恒光实业,,HGSY,主板,D,20030730,20030903,200.0,,HKD
02959AH.HK,捷美(香港),捷美(香港),,JMXG,主板,D,20010516,20010620,5000.0,,HKD
02959AI.HK,合一投资,合一投资,,HYTZ,主板,D,20080917,20081023,2000.0,,HKD
02959AJ.HK,东力实业控股,东力实业控股,,DLSYKG,主板,D,20101206,20110110,200.0,,HKD
02959AK.HK,遠東科技國際,遠東科技國際,,YDKJGJ,主板,D,20050202,20050314,400.0,,HKD
02959AL.HK,中国农林低碳股权,中国农林低碳股权,,ZGNLDTGQ,主板,D,20180716,20180723,40000.0,,HKD
02960.HK,能源国际投资,能源国际投资,,NYGJTZ,主板,D,20141008,20141111,200.0,,HKD
02960.HK,中国锆业,中国锆业,,ZGGY,主板,D,20091109,20091221,8000.0,,HKD
02960.HK,君阳金融,君阳金融,,JYJR,主板,D,20160406,20160511,2000.0,BMG5210R1401,HKD
02960.HK,世纪金花,世纪金花,,SJJH,主板,D,20121213,20130121,500.0,,HKD
02960AE.HK,天网国际集团,天网国际集团,,TWGJJT,主板,D,20050128,20050223,20.0,,HKD
02960AF.HK,永义实业,永义实业,,YYSY,主板,D,20080923,20081029,50.0,,HKD
02960AG.HK,宝源控股,宝源控股,,BYKG,主板,D,20111007,20111123,500.0,,HKD
02960AH.HK,中国银龙(旧),中国银龙(旧),,ZGYLJ,主板,D,20030725,20030829,100.0,,HKD
02960AI.HK,佳信科技(旧),佳信科技(旧),,JXKJJ,主板,D,20020823,20020930,1750.0,,HKD
02960AJ.HK,蒙古矿业,蒙古矿业,,MGKY,主板,D,20150402,20150512,500.0,,HKD
02960AK.HK,首都创投,首都创投,,SDCT,主板,D,20131230,20140120,10000.0,,HKD
